Timestamp: 586517637.621214	 X: 1028.75703722756 Y:215.524181539599
Timestamp: 586517649.020848	 X: 1027.34479353898 Y:215.377869459544
Timestamp: 586517660.882756	 X: 1027.57588957067 Y:215.278573128088
Timestamp: 586517670.660733	 X: 1027.77384076542 Y:215.251661039796
Timestamp: 586517681.643662	 X: 1027.45307111817 Y:215.584979792648
Timestamp: 586517693.385281	 X: 1032.41890470795 Y:212.540249544014
Timestamp: 586517704.126399	 X: 1030.1367161743 Y:210.240526897755
Timestamp: 586517715.595415	 X: 1043.52232438808 Y:208.165104663555
Timestamp: 586517727.020092	 X: 1042.7020374322 Y:216.050489428882
Timestamp: 586517736.950381	 X: 1043.4021357734 Y:218.764288085108
Timestamp: 586517748.176765	 X: 1050.97769122775 Y:231.249671005485
Timestamp: 586517760.179491	 X: 1059.3288201831 Y:258.060495069902
Timestamp: 586517770.811814	 X: 1059.72334132952 Y:258.992626608999
Timestamp: 586517781.832924	 X: 1060.2482267068 Y:260.819285281247
